Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,Total_Enrolled_Units,Total_Approved_Units,Grade_Improvement,Failure_Flag
Single,2nd phase—general contingent,1.0,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Other—11th Year,Service/Sales/Security,Unskilled Workers,Yes,No,No,Yes,Male,No,0.17647058823529416,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,Dropout,4.0,0.0,-0.5250000000000004,1
Single,International student (bachelor),0.2857142857142857,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Higher Education Degree,Technicians & Professionals,Technicians & Professionals,Yes,No,No,No,Male,No,0.11764705882352944,No,0.0,0.5,0.375,0.5714285714285714,0.6875,0.0,0.0,0.5,0.375,0.5,0.6572580645161289,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,Graduate,12.0,12.0,-0.3333333333333339,0
Single,1st phase—general contingent,1.0,Communication Design,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,0.11764705882352944,No,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.37209302325581406,0.4888888888888888,0.7661822985468957,Dropout,12.0,0.0,-0.5250000000000004,1
Single,2nd phase—general contingent,0.5714285714285714,Journalism and Communication,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Service/Sales/Security,Technicians & Professionals,Yes,No,No,Yes,Female,No,0.17647058823529416,No,0.0,0.5,0.5,0.5714285714285714,0.6279761904761905,0.0,0.0,0.5,0.625,0.41666666666666663,0.5346774193548386,0.0,0.2093023255813954,0.0,0.12417437252311753,Graduate,12.0,11.0,-1.0285714285714285,0
Married,Over 23 years old,0.2857142857142857,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,1.0,No,0.0,0.5,0.5625,0.47619047619047616,0.5138888888888888,0.0,0.0,0.5,0.375,0.5,0.5927419354838709,0.0,0.7325581395348838,0.11111111111111112,0.6406869220607662,Graduate,12.0,11.0,0.6666666666666661,0
Married,Over 23 years old,0.2857142857142857,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,Yes,Yes,Male,No,1.0,No,0.0,0.375,0.625,0.47619047619047616,0.4642857142857144,0.0,0.0,0.375,1.0,0.41666666666666663,0.44758064516129037,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,Graduate,10.0,10.0,-0.35714285714285765,0
Single,1st phase—general contingent,0.2857142857142857,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Skilled Industry Workers,Armed Forces,Yes,No,No,Yes,Female,Yes,0.05882352941176472,No,0.0,0.625,0.5625,0.6666666666666666,0.6145833333333333,0.0,0.0,0.75,0.5,0.6666666666666666,0.7229032258064515,0.0,0.9186046511627907,0.7999999999999999,0.0,Graduate,15.0,15.0,1.045,0
Single,3rd phase—general contingent,1.0,Tourism,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,No,Male,No,0.2941176470588236,No,0.0,0.375,0.3125,0.0,0.0,0.0,0.0,0.375,0.3125,0.0,0.0,0.0,0.9186046511627907,0.7999999999999999,0.0,Dropout,10.0,0.0,-0.5250000000000004,1
Single,1st phase—general contingent,0.8571428571428571,Social Service,Daytime,Secondary education,Romanian,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,Yes,0.23529411764705888,Yes,0.0,0.5,0.5,0.5714285714285714,0.6744791666666665,0.0,0.0,0.5,0.4375,0.5,0.7033410138248847,0.0,0.9999999999999999,0.24444444444444446,0.4147952443857331,Graduate,12.0,12.0,0.26785714285714235,0
Single,1st phase—general contingent,0.2857142857142857,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,No,Yes,No,Female,No,0.05882352941176472,No,0.0,0.5,0.5625,0.47619047619047616,0.41666666666666674,0.0,0.0,0.5,0.875,0.16666666666666666,0.6411290322580644,0.0,0.15116279069767458,0.4888888888888888,1.0,Dropout,12.0,7.0,2.0999999999999996,0
